timestamp,open,high,low,close,volume
2024-01-01 00:00:00,0.120000,0.125000,0.118000,0.122000,100000
2024-01-01 01:00:00,0.122000,0.128000,0.120000,0.125000,120000
2024-01-01 02:00:00,0.125000,0.130000,0.123000,0.128000,150000
2024-01-01 03:00:00,0.128000,0.135000,0.126000,0.132000,180000
2024-01-01 04:00:00,0.132000,0.138000,0.130000,0.135000,220000
2024-01-01 05:00:00,0.135000,0.142000,0.133000,0.140000,250000
2024-01-01 06:00:00,0.140000,0.148000,0.138000,0.145000,300000
2024-01-01 07:00:00,0.145000,0.152000,0.143000,0.150000,350000
2024-01-01 08:00:00,0.150000,0.158000,0.148000,0.155000,400000
2024-01-01 09:00:00,0.155000,0.165000,0.153000,0.162000,450000
2024-01-01 10:00:00,0.162000,0.172000,0.160000,0.168000,500000
2024-01-01 11:00:00,0.168000,0.178000,0.166000,0.175000,600000
2024-01-01 12:00:00,0.175000,0.185000,0.173000,0.182000,700000
2024-01-01 13:00:00,0.182000,0.192000,0.180000,0.188000,800000
2024-01-01 14:00:00,0.188000,0.198000,0.186000,0.195000,900000
2024-01-01 15:00:00,0.195000,0.205000,0.193000,0.202000,1000000
2024-01-01 16:00:00,0.202000,0.212000,0.200000,0.208000,1200000
2024-01-01 17:00:00,0.208000,0.218000,0.206000,0.215000,1400000
2024-01-01 18:00:00,0.215000,0.225000,0.213000,0.222000,1600000
2024-01-01 19:00:00,0.222000,0.235000,0.220000,0.230000,1800000
2024-01-01 20:00:00,0.230000,0.245000,0.228000,0.240000,2000000
2024-01-01 21:00:00,0.240000,0.255000,0.238000,0.250000,2200000
2024-01-01 22:00:00,0.250000,0.265000,0.248000,0.260000,2400000
2024-01-01 23:00:00,0.260000,0.275000,0.258000,0.270000,2600000
2024-01-02 00:00:00,0.270000,0.285000,0.268000,0.280000,2800000
2024-01-02 01:00:00,0.280000,0.295000,0.278000,0.290000,3000000
2024-01-02 02:00:00,0.290000,0.305000,0.288000,0.300000,3200000
2024-01-02 03:00:00,0.300000,0.318000,0.298000,0.312000,3400000
2024-01-02 04:00:00,0.312000,0.328000,0.310000,0.322000,3600000
2024-01-02 05:00:00,0.322000,0.338000,0.320000,0.332000,3800000
2024-01-02 06:00:00,0.332000,0.348000,0.330000,0.342000,4000000
2024-01-02 07:00:00,0.342000,0.358000,0.340000,0.352000,4200000
2024-01-02 08:00:00,0.352000,0.368000,0.350000,0.362000,4400000
2024-01-02 09:00:00,0.362000,0.378000,0.360000,0.372000,4600000
2024-01-02 10:00:00,0.372000,0.388000,0.370000,0.382000,4800000
2024-01-02 11:00:00,0.382000,0.398000,0.380000,0.392000,5000000
2024-01-02 12:00:00,0.392000,0.408000,0.390000,0.402000,5200000
2024-01-02 13:00:00,0.402000,0.418000,0.400000,0.412000,5400000
2024-01-02 14:00:00,0.412000,0.428000,0.410000,0.422000,5600000
2024-01-02 15:00:00,0.422000,0.438000,0.420000,0.432000,5800000
2024-01-02 16:00:00,0.432000,0.448000,0.430000,0.442000,6000000
2024-01-02 17:00:00,0.442000,0.458000,0.440000,0.452000,6200000
2024-01-02 18:00:00,0.452000,0.468000,0.450000,0.462000,6400000
2024-01-02 19:00:00,0.462000,0.478000,0.460000,0.472000,6600000
2024-01-02 20:00:00,0.472000,0.485000,0.470000,0.480000,6800000
2024-01-02 21:00:00,0.480000,0.495000,0.478000,0.485000,7000000
2024-01-02 22:00:00,0.485000,0.495000,0.483000,0.488000,7200000
2024-01-02 23:00:00,0.488000,0.495000,0.485000,0.490000,7400000
2024-01-03 00:00:00,0.490000,0.495000,0.485000,0.488000,7600000
2024-01-03 01:00:00,0.488000,0.495000,0.475000,0.480000,8000000
2024-01-03 02:00:00,0.480000,0.485000,0.470000,0.475000,8200000
2024-01-03 03:00:00,0.475000,0.480000,0.465000,0.468000,8400000
2024-01-03 04:00:00,0.468000,0.475000,0.460000,0.462000,8600000
2024-01-03 05:00:00,0.462000,0.468000,0.455000,0.458000,8800000
2024-01-03 06:00:00,0.458000,0.462000,0.450000,0.455000,9000000
2024-01-03 07:00:00,0.455000,0.460000,0.445000,0.448000,9200000
2024-01-03 08:00:00,0.448000,0.452000,0.440000,0.442000,9400000
2024-01-03 09:00:00,0.442000,0.445000,0.435000,0.438000,9600000
2024-01-03 10:00:00,0.438000,0.442000,0.430000,0.432000,9800000
2024-01-03 11:00:00,0.432000,0.435000,0.425000,0.428000,10000000
2024-01-03 12:00:00,0.428000,0.432000,0.420000,0.422000,10200000
2024-01-03 13:00:00,0.422000,0.425000,0.415000,0.418000,10400000
2024-01-03 14:00:00,0.418000,0.422000,0.410000,0.412000,10600000
2024-01-03 15:00:00,0.412000,0.415000,0.405000,0.408000,10800000
2024-01-03 16:00:00,0.408000,0.412000,0.400000,0.402000,11000000
2024-01-03 17:00:00,0.402000,0.405000,0.395000,0.398000,11200000
2024-01-03 18:00:00,0.398000,0.402000,0.390000,0.392000,11400000
